Id,Name,countryName,agespan,gender,occupation,industry,domain,domain2
3192,Oliver bierhoff,Germany,50,Male,Soccer player,Team sports,Sports,Sports
3193,Oliver kahn,Germany,49,Male,Soccer player,Team sports,Sports,Sports
3194,Oswald spengler,Germany,56,Male,Philosopher,Philosophy,Humanities,Humanities
3195,Otto hahn,Germany,89,Male,Chemist,Natural sciences,Science & technology,Science & technology
3196,Otto heinrich warburg,Germany,87,Male,Physician,Medicine,Science & technology,Science & technology
3197,"Otto ii, holy roman emperor",Germany,28,Male,Politician,Government,Institutions,Government
3198,Patrick süskind,Germany,69,Male,Writer,Language,Humanities,Humanities
3199,Paul emil von lettow-vorbeck,Germany,94,Male,Military personnel,Military,Institutions,Army
3200,Paul hausser,Germany,92,Male,Military personnel,Military,Institutions,Army
3201,Paul johann ludwig von heyse,Germany,84,Male,Writer,Language,Humanities,Humanities
3202,Per mertesacker,Germany,34,Male,Soccer player,Team sports,Sports,Sports
3203,Peter paul rubens,Germany,63,Male,Painter,Fine arts,Arts,Arts
3204,Philipp lahm,Germany,35,Male,Soccer player,Team sports,Sports,Sports
3205,Philipp melanchthon,Germany,63,Male,Religious figure,Religion,Institutions,Religion
3206,Pippin of italy,Germany,37,Male,Politician,Government,Institutions,Government
3207,Pope victor ii,Germany,39,Male,Religious figure,Religion,Institutions,Religion
3208,Prince maximilian of baden,Germany,62,Male,Politician,Government,Institutions,Government
3209,Ralf schumacher,Germany,43,Male,Racecar driver,Individual sport,Sports,Sports
3210,Reinhard heydrich,Germany,38,Male,Politician,Government,Institutions,Government
3211,Richard strauss,Germany,85,Male,Composer,Music,Arts,Arts
3212,Richard von weizsäcker,Germany,95,Male,Politician,Government,Institutions,Government
3213,Robert bunsen,Germany,88,Male,Chemist,Natural sciences,Science & technology,Science & technology
3214,Roland emmerich,Germany,63,Male,Film director,Film and theatre,Arts,Arts
3215,Roman herzog,Germany,83,Male,Politician,Government,Institutions,Government
3216,Rudolf bultmann,Germany,92,Male,Philosopher,Philosophy,Humanities,Humanities
3218,Rudolf mößbauer,Germany,82,Male,Physicist,Natural sciences,Science & technology,Science & technology
3219,Rudolph i of habsburg,Germany,73,Male,Politician,Government,Institutions,Government
3220,Sebastian vettel,Germany,31,Male,Racecar driver,Individual sport,Sports,Sports
3221,"Sigismund, holy roman emperor",Germany,69,Male,Politician,Government,Institutions,Government
3222,Sophie scholl,Germany,22,Female,Social activist,Activism,Public figure,Public figure
3223,Stefan effenberg,Germany,50,Male,Soccer player,Team sports,Sports,Sports
3224,Stefanie graf,Germany,49,Female,Tennis player,Individual sport,Sports,Sports
3225,Tarkan,Germany,46,Male,Singer,Music,Arts,Arts
3226,Theobald von bethmann-hollweg,Germany,65,Male,Politician,Government,Institutions,Government
3227,Theodor mommsen,Germany,86,Male,Archaeologist,Natural sciences,Science & technology,Science & technology
3228,Theodor schwann,Germany,72,Male,Biologist,Natural sciences,Science & technology,Science & technology
3229,Theodor w. Adorno,Germany,66,Male,Sociologist,Social sciences,Science & technology,Science & technology
3230,Thomas muentzer,Germany,37,Male,Social activist,Activism,Public figure,Public figure
3231,Thomas müller,Germany,29,Male,Soccer player,Team sports,Sports,Sports
3232,Timo glock,Germany,36,Male,Racecar driver,Individual sport,Sports,Sports
3233,Toni kroos,Germany,28,Male,Soccer player,Team sports,Sports,Sports
3234,Uwe seeler,Germany,82,Male,Soccer player,Team sports,Sports,Sports
3235,Valentinian ii,Germany,21,Male,Politician,Government,Institutions,Government
3236,Valéry giscard d'estaing,Germany,92,Male,Politician,Government,Institutions,Government
3237,Walter benjamin,Germany,48,Male,Philosopher,Philosophy,Humanities,Humanities
3238,Walter model,Germany,54,Male,Military personnel,Military,Institutions,Army
3239,Walter ulbricht,Germany,80,Male,Politician,Government,Institutions,Government
3240,Walther bothe,Germany,66,Male,Physicist,Natural sciences,Science & technology,Science & technology
3241,Walther von reichenau,Germany,58,Male,Military personnel,Military,Institutions,Army
3242,"Wenceslaus, king of the romans",Germany,58,Male,Politician,Government,Institutions,Government
3243,Werner herzog,Germany,76,Male,Film director,Film and theatre,Arts,Arts
3244,Werner mölders,Germany,28,Male,Military personnel,Military,Institutions,Army
3245,Wilhelm canaris,Germany,58,Male,Military personnel,Military,Institutions,Army
3246,Wilhelm cuno,Germany,57,Male,Politician,Government,Institutions,Government
3247,Wilhelm ritter von leeb,Germany,80,Male,Military personnel,Military,Institutions,Army
3248,Wilhelm von humboldt,Germany,68,Male,Philosopher,Philosophy,Humanities,Humanities
3249,Wilhelm wundt,Germany,88,Male,Psychologist,Social sciences,Science & technology,Science & technology
3250,William herschel,Germany,84,Male,Astronomer,Natural sciences,Science & technology,Science & technology
3251,William i,Germany,91,Male,Politician,Government,Institutions,Government
3252,William the silent,Germany,51,Male,Politician,Government,Institutions,Government
3253,Willy brandt,Germany,79,Male,Politician,Government,Institutions,Government
3254,Wim wenders,Germany,73,Male,Film director,Film and theatre,Arts,Arts
3255,"Frederick i, holy roman emperor",Germany,68,Male,Politician,Government,Institutions,Government
3256,Gerald asamoah,Ghana,40,Male,Soccer player,Team sports,Sports,Sports
3257,John atta-mills,Ghana,68,Male,Politician,Government,Institutions,Government
3258,John dramani mahama,Ghana,60,Male,Politician,Government,Institutions,Government
3259,Kofi kingston,Ghana,37,Male,Wrestler,Individual sport,Sports,Sports
3260,Abédi pelé,Ghana,54,Male,Soccer player,Team sports,Sports,Sports
3261,Asamoah gyan,Ghana,33,Male,Soccer player,Team sports,Sports,Sports
3262,Emmanuel frimpong,Ghana,26,Male,Soccer player,Team sports,Sports,Sports
3263,John kufuor,Ghana,80,Male,Politician,Government,Institutions,Government
3264,John pantsil,Ghana,37,Male,Soccer player,Team sports,Sports,Sports
3265,Kofi annan,Ghana,80,Male,Diplomat,Government,Institutions,Government
3266,Kwadwo asamoah,Ghana,30,Male,Soccer player,Team sports,Sports,Sports
3267,Kwame nkrumah,Ghana,63,Male,Politician,Government,Institutions,Government
3268,Marcel desailly,Ghana,50,Male,Soccer player,Team sports,Sports,Sports
3269,Michael essien,Ghana,36,Male,Soccer player,Team sports,Sports,Sports
3270,Richard kingson,Ghana,40,Male,Soccer player,Team sports,Sports,Sports
3271,Stephen appiah,Ghana,38,Male,Soccer player,Team sports,Sports,Sports
3272,Sulley muntari,Ghana,34,Male,Soccer player,Team sports,Sports,Sports
3273,John galliano,Gibraltar,58,Male,Fashion designer,Design,Arts,Arts
3274,Aeschylus,Greece,69,Male,Writer,Language,Humanities,Humanities
3275,Agesilaus ii,Greece,84,Male,Politician,Government,Institutions,Government
3276,Alcibiades,Greece,46,Male,Politician,Government,Institutions,Government
3277,Alexander of greece,Greece,27,Male,Politician,Government,Institutions,Government
3278,Alexander the great,Greece,33,Male,Military personnel,Military,Institutions,Army
3279,Alexandros tzorvas,Greece,36,Male,Soccer player,Team sports,Sports,Sports
3280,Andreas papandreou,Greece,77,Male,Politician,Government,Institutions,Government
3281,Antigonus i monophthalmus,Greece,81,Male,Politician,Government,Institutions,Government
3282,Antinous,Greece,19,Male,Companion,Companions,Public figure,Public figure
3283,Antisthenes,Greece,80,Male,Philosopher,Philosophy,Humanities,Humanities
3284,Antonis samaras,Greece,67,Male,Politician,Government,Institutions,Government
3285,Aristarchus of samos,Greece,80,Male,Astronomer,Natural sciences,Science & technology,Science & technology
3286,Aristides,Greece,62,Male,Politician,Government,Institutions,Government
3287,Aristophanes,Greece,60,Male,Writer,Language,Humanities,Humanities
3288,Aristotle,Greece,62,Male,Philosopher,Philosophy,Humanities,Humanities
3289,Barbarossa khair ad din pasha,Greece,70,Male,Pirate,Outlaws,Public figure,Public figure
3290,Clement of alexandria,Greece,65,Male,Philosopher,Philosophy,Humanities,Humanities
3291,Constantine i of greece,Greece,55,Male,Politician,Government,Institutions,Government
3292,Constantine ii of greece,Greece,78,Male,Nobleman,Government,Institutions,Government
3293,Constantine karamanlis,Greece,91,Male,Politician,Government,Institutions,Government
3294,Costa-gavras,Greece,85,Male,Film director,Film and theatre,Arts,Arts
3295,Costas simitis,Greece,82,Male,Politician,Government,Institutions,Government
3296,Craterus,Greece,49,Male,Military personnel,Military,Institutions,Army
3297,Critias,Greece,57,Male,Politician,Government,Institutions,Government
3298,Demetrius vikelas,Greece,73,Male,Writer,Language,Humanities,Humanities
3299,Democritus,Greece,90,Male,Philosopher,Philosophy,Humanities,Humanities
3300,Demosthenes,Greece,62,Male,Politician,Government,Institutions,Government
3301,Dimitris p. Kraniotis,Greece,52,Male,Writer,Language,Humanities,Humanities
3302,Dimitris salpigidis,Greece,37,Male,Soccer player,Team sports,Sports,Sports
3303,El greco,Greece,73,Male,Painter,Fine arts,Arts,Arts
3304,Eleftherios venizelos,Greece,72,Male,Politician,Government,Institutions,Government
3305,Epaminondas,Greece,48,Male,Politician,Government,Institutions,Government
3306,Epicurus,Greece,71,Male,Philosopher,Philosophy,Humanities,Humanities
3307,George papadopoulos,Greece,99,Male,Politician,Government,Institutions,Government
3308,George papandreou,Greece,80,Male,Politician,Government,Institutions,Government
3309,Georgios samaras,Greece,33,Male,Soccer player,Team sports,Sports,Sports
3310,Giorgio de chirico,Greece,90,Male,Artist,Fine arts,Arts,Arts
3311,Giorgos karagounis,Greece,41,Male,Soccer player,Team sports,Sports,Sports
3312,Hecataeus,Greece,74,Male,Historian,History,Humanities,Humanities
3313,Hesiod,Greece,53,Male,Writer,Language,Humanities,Humanities
3314,Hippocrates,Greece,90,Male,Physician,Medicine,Science & technology,Science & technology
3315,Ioannis kapodistrias,Greece,55,Male,Politician,Government,Institutions,Government
3316,Irene,Greece,51,Female,Politician,Government,Institutions,Government
3317,Isocrates,Greece,98,Male,Presenter,Media personalit,Public figure,Public figure
3318,Karolos papoulias,Greece,89,Male,Politician,Government,Institutions,Government
3319,Konstantinos chalkias,Greece,44,Male,Soccer player,Team sports,Sports,Sports
3320,Kostas karamanlis,Greece,62,Male,Politician,Government,Institutions,Government
3321,Kostas katsouranis,Greece,39,Male,Soccer player,Team sports,Sports,Sports
3322,Leonidas i,Greece,60,Male,Politician,Government,Institutions,Government
3323,Lucas papademos,Greece,71,Male,Economist,Social sciences,Science & technology,Science & technology
3324,Marcian,Greece,61,Male,Politician,Government,Institutions,Government
3325,Maximinus thrax,Greece,65,Male,Politician,Government,Institutions,Government
3326,Melina mercouri,Greece,74,Female,Actor,Film and theatre,Arts,Arts
3327,Melissus of samos,Greece,68,Male,Philosopher,Philosophy,Humanities,Humanities
3328,Menander,Greece,52,Male,Writer,Language,Humanities,Humanities
3329,Míkis theodorakis,Greece,93,Male,Composer,Music,Arts,Arts
3330,Mustafa kemal atatürk,Greece,57,Male,Politician,Government,Institutions,Government
3331,Myron,Greece,60,Male,Sculptor,Fine arts,Arts,Arts
3332,Nana mouskouri,Greece,84,Female,Singer,Music,Arts,Arts
3333,Nâzım hikmet,Greece,61,Male,Writer,Language,Humanities,Humanities
3334,Nikos kazantzakis,Greece,74,Male,Writer,Language,Humanities,Humanities
3335,Odysseas elytis,Greece,85,Male,Writer,Language,Humanities,Humanities
3336,Panaetius,Greece,75,Male,Philosopher,Philosophy,Humanities,Humanities
3337,Paul of greece,Greece,63,Male,Politician,Government,Institutions,Government
3338,Pericles,Greece,66,Male,Politician,Government,Institutions,Government
3339,Philip ii of macedon,Greece,46,Male,Politician,Government,Institutions,Government
3340,Philip v of macedon,Greece,59,Male,Politician,Government,Institutions,Government
3341,Phocas,Greece,60,Male,Politician,Government,Institutions,Government
3342,Pindar,Greece,79,Male,Writer,Language,Humanities,Humanities
3343,Plato,Greece,79,Male,Philosopher,Philosophy,Humanities,Humanities
3344,Plutarch,Greece,75,Male,Philosopher,Philosophy,Humanities,Humanities
3345,Polybius,Greece,85,Male,Historian,History,Humanities,Humanities
3346,Polycrates,Greece,78,Male,Politician,Government,Institutions,Government
3347,Pope anterus,Greece,56,Male,Religious figure,Religion,Institutions,Religion
3348,Pope dionysius,Greece,68,Male,Religious figure,Religion,Institutions,Religion
3349,Pope hyginus,Greece,42,Male,Religious figure,Religion,Institutions,Religion
3350,Pope sixtus ii,Greece,58,Male,Religious figure,Religion,Institutions,Religion
3351,Praxiteles,Greece,74,Male,Sculptor,Fine arts,Arts,Arts
3352,"Prince philip, duke of edinburgh",Greece,97,Male,Nobleman,Government,Institutions,Government
3353,Protagoras,Greece,70,Male,Philosopher,Philosophy,Humanities,Humanities
3354,Pyrrho,Greece,90,Male,Philosopher,Philosophy,Humanities,Humanities
3355,Pyrrhus of epirus,Greece,47,Male,Military personnel,Military,Institutions,Army
3356,Pythagoras,Greece,75,Male,Philosopher,Philosophy,Humanities,Humanities
3357,Sakis rouvas,Greece,46,Male,Singer,Music,Arts,Arts
3358,Sappho,Greece,55,Female,Writer,Language,Humanities,Humanities
3359,Scopas,Greece,45,Male,Sculptor,Fine arts,Arts,Arts
3360,Seleucus i nicator,Greece,77,Male,Military personnel,Military,Institutions,Army
3361,Socrates,Greece,70,Male,Philosopher,Philosophy,Humanities,Humanities
3362,Sokratis papastathopoulos,Greece,30,Male,Soccer player,Team sports,Sports,Sports
3363,Sophocles,Greece,90,Male,Writer,Language,Humanities,Humanities
3364,Sotirios kyrgiakos,Greece,39,Male,Soccer player,Team sports,Sports,Sports
3365,Themistocles,Greece,66,Male,Military personnel,Military,Institutions,Army
3366,Theo angelopoulos,Greece,77,Male,Film director,Film and theatre,Arts,Arts
3367,Theodoros zagorakis,Greece,47,Male,Soccer player,Team sports,Sports,Sports
3368,Theofanis gekas,Greece,38,Male,Soccer player,Team sports,Sports,Sports
3369,Theophrastus,Greece,84,Male,Philosopher,Philosophy,Humanities,Humanities
3370,Thespis,Greece,61,Male,Actor,Film and theatre,Arts,Arts
3371,Thucydides,Greece,60,Male,Historian,History,Humanities,Humanities
3372,Ugo foscolo,Greece,49,Male,Writer,Language,Humanities,Humanities
3373,Vangelis,Greece,75,Male,Composer,Music,Arts,Arts
3374,Vasilis torosidis,Greece,33,Male,Soccer player,Team sports,Sports,Sports
3375,Xenophon,Greece,77,Male,Historian,History,Humanities,Humanities
3376,Yanni,Greece,64,Male,Musician,Music,Arts,Arts
3377,Yannis ritsos,Greece,81,Male,Social activist,Activism,Public figure,Public figure
3378,Alcaeus,Greece,50,Male,Writer,Language,Humanities,Humanities
3379,Angelos basinas,Greece,42,Male,Soccer player,Team sports,Sports,Sports
3380,Angelos charisteas,Greece,38,Male,Soccer player,Team sports,Sports,Sports
3381,Antigonus ii gonatas,Greece,80,Male,Politician,Government,Institutions,Government
3382,Antonios nikopolidis,Greece,47,Male,Soccer player,Team sports,Sports,Sports
3383,Archilochus,Greece,35,Male,Writer,Language,Humanities,Humanities
3384,Athenagoras of athens,Greece,57,Male,Religious figure,Religion,Institutions,Religion
3385,Babrak karmal,Greece,67,Male,Politician,Government,Institutions,Government
3386,Bayezid ii,Greece,65,Male,Politician,Government,Institutions,Government
3387,Cleomenes i,Greece,61,Male,Politician,Government,Institutions,Government
3388,Cleon,Greece,28,Male,Extremist,Outlaws,Public figure,Public figure
3389,Euripides,Greece,74,Male,Writer,Language,Humanities,Humanities
3390,George ii of greece,Greece,57,Male,Politician,Government,Institutions,Government
3391,Ibrahim pasha of egypt,Greece,59,Male,Politician,Government,Institutions,Government
3392,Ioannis metaxas,Greece,70,Male,Politician,Government,Institutions,Government
3393,John iii doukas vatatzes,Greece,62,Male,Politician,Government,Institutions,Government
3394,John v palaiologos,Greece,59,Male,Politician,Government,Institutions,Government
3395,Kimon,Greece,60,Male,Military personnel,Military,Institutions,Army
3396,Konstantinos stephanopoulos,Greece,90,Male,Politician,Government,Institutions,Government
3397,Leucippus,Greece,68,Male,Philosopher,Philosophy,Humanities,Humanities
3398,Lysias,Greece,79,Male,Writer,Language,Humanities,Humanities
3399,Lysimachus,Greece,79,Male,Politician,Government,Institutions,Government
3400,Lysippos,Greece,100,Male,Sculptor,Fine arts,Arts,Arts
3401,Miltiades the younger,Greece,61,Male,Military personnel,Military,Institutions,Army
3402,Muhammad ali of egypt,Greece,80,Male,Politician,Government,Institutions,Government
3403,Peisistratos,Greece,72,Male,Politician,Government,Institutions,Government
3404,Pherecydes of syros,Greece,60,Male,Philosopher,Philosophy,Humanities,Humanities
3405,Polykleitos,Greece,68,Male,Sculptor,Fine arts,Arts,Arts
3406,Pope eleuterus,Greece,89,Male,Religious figure,Religion,Institutions,Religion
3407,Queen sofía of spain,Greece,80,Female,Nobleman,Government,Institutions,Government
3408,Saint cyril,Greece,42,Male,Religious figure,Religion,Institutions,Religion
3409,Solon,Greece,80,Male,Politician,Government,Institutions,Government
3410,Spiridon louis,Greece,67,Male,Athlete,Individual sport,Sports,Sports
3412,Jesper grønkjær,Greenland,41,Male,Soccer player,Team sports,Sports,Sports
3413,Rigoberta menchú,Guatemala,59,Female,Social activist,Activism,Public figure,Public figure
3415,Álvaro colom,Guatemala,67,Male,Politician,Government,Institutions,Government
3416,Jacobo arbenz guzmán,Guatemala,58,Male,Politician,Government,Institutions,Government
3417,Miguel ángel asturias,Guatemala,75,Male,Writer,Language,Humanities,Humanities
3418,Jean-jacques dessalines,Guinea,48,Male,Politician,Government,Institutions,Government
3419,Moussa dadis camara,Guinea,54,Male,Politician,Government,Institutions,Government
3420,Ahmed sékou touré,Guinea,62,Male,Politician,Government,Institutions,Government
3421,Alpha condé,Guinea,80,Male,Politician,Government,Institutions,Government
3422,Lansana conté,Guinea,74,Male,Politician,Government,Institutions,Government
3423,Amílcar cabral,Guinea-bissau,49,Male,Social activist,Activism,Public figure,Public figure
3424,João bernardo vieira,Guinea-bissau,70,Male,Politician,Government,Institutions,Government
3425,Malam bacai sanhá,Guinea-bissau,65,Male,Politician,Government,Institutions,Government
3427,François duvalier,Haiti,64,Male,Physician,Medicine,Science & technology,Science & technology
3428,Jean-bertrand aristide,Haiti,65,Male,Politician,Government,Institutions,Government
3429,John james audubon,Haiti,66,Male,Artist,Fine arts,Arts,Arts
3430,Michaëlle jean,Haiti,61,Female,Journalist,Language,Humanities,Humanities
3431,René préval,Haiti,74,Male,Politician,Government,Institutions,Government
3432,Sweet micky,Haiti,57,Male,Politician,Government,Institutions,Government
3433,Wyclef jean,Haiti,49,Male,Singer,Music,Arts,Arts
3434,David suazo,Honduras,39,Male,Soccer player,Team sports,Sports,Sports
3435,Manuel zelaya,Honduras,66,Male,Politician,Government,Institutions,Government
3436,Porfirio pepe lobo,Honduras,71,Male,Politician,Government,Institutions,Government
3437,Wilson palacios,Honduras,34,Male,Soccer player,Team sports,Sports,Sports
3438,Ma ying-jeou,Hong kong,68,Male,Politician,Government,Institutions,Government
3439,Albert szent-györgyi,Hungary,93,Male,Physician,Medicine,Science & technology,Science & technology
3440,Andrew i of hungary,Hungary,47,Male,Politician,Government,Institutions,Government
3441,Andrew ii of hungary,Hungary,58,Male,Politician,Government,Institutions,Government
3442,Árpád,Hungary,62,Male,Politician,Government,Institutions,Government
3443,Attila józsef,Hungary,32,Male,Writer,Language,Humanities,Humanities
3444,Attila the hun,Hungary,47,Male,Politician,Government,Institutions,Government
3445,Béla ii of hungary,Hungary,33,Male,Nobleman,Government,Institutions,Government
3446,Béla iii of hungary,Hungary,48,Male,Politician,Government,Institutions,Government
3447,Béla iv of hungary,Hungary,64,Male,Politician,Government,Institutions,Government
3448,Charles simonyi,Hungary,70,Male,Businessperson,Business,Business & law,Business & law
3449,Coloman of hungary,Hungary,42,Male,Politician,Government,Institutions,Government
3450,Edgar ætheling,Hungary,75,Male,Nobleman,Government,Institutions,Government
3451,Elizabeth báthory,Hungary,54,Female,Extremist,Outlaws,Public figure,Public figure
3452,Emeric of hungary,Hungary,30,Male,Politician,Government,Institutions,Government
3453,Flórián albert,Hungary,77,Male,Soccer player,Team sports,Sports,Sports
3454,Georg lukács,Hungary,86,Male,Philosopher,Philosophy,Humanities,Humanities
3455,Géza ii of hungary,Hungary,32,Male,Politician,Government,Institutions,Government
3456,Gyula cseszneky de milvány,Hungary,56,Male,Military personnel,Military,Institutions,Army
3457,Harry houdini,Hungary,52,Male,Magician,Media personalit,Public figure,Public figure
3459,Jadwiga of poland,Hungary,26,Female,Politician,Government,Institutions,Government
3460,John von neumann,Hungary,54,Male,Mathematician,Math,Science & technology,Science & technology
3461,Judit polgár,Hungary,42,Female,Chessmaster,Individual sport,Sports,Sports
3462,Louis i of hungary,Hungary,56,Male,Politician,Government,Institutions,Government
3463,Louis ii of hungary,Hungary,20,Male,Politician,Government,Institutions,Government
3464,Martin of tours,Hungary,81,Male,Religious figure,Religion,Institutions,Religion
3465,Michael curtiz,Hungary,76,Male,Film director,Film and theatre,Arts,Arts
3466,Miklós fehér,Hungary,39,Male,Soccer player,Team sports,Sports,Sports
3467,Theodor herzl,Hungary,44,Male,Writer,Language,Humanities,Humanities
3468,Zsa zsa gábor,Hungary,99,Female,Actor,Film and theatre,Arts,Arts
3469,Ágnes szávay,Hungary,30,Female,Tennis player,Individual sport,Sports,Sports
3471,Alboin,Hungary,42,Male,Politician,Government,Institutions,Government
3472,Arthur koestler,Hungary,78,Male,Writer,Language,Humanities,Humanities
3473,Avram hershko,Hungary,81,Male,Chemist,Natural sciences,Science & technology,Science & technology
3474,Dennis gabor,Hungary,79,Male,Physicist,Natural sciences,Science & technology,Science & technology
3475,Edward teller,Hungary,95,Male,Physicist,Natural sciences,Science & technology,Science & technology
3476,Emmerich kalman,Hungary,71,Male,Composer,Music,Arts,Arts
3477,Ernő rubik,Hungary,74,Male,Inventor,Invention,Science & technology,Science & technology
3478,Eugene wigner,Hungary,93,Male,Physicist,Natural sciences,Science & technology,Science & technology
3479,Ferenc gyurcsány,Hungary,57,Male,Politician,Government,Institutions,Government
3480,Ferenc mádl,Hungary,80,Male,Politician,Government,Institutions,Government
3481,Ferenc molnár,Hungary,74,Male,Writer,Language,Humanities,Humanities
3482,Ferenc puskás,Hungary,91,Male,Soccer player,Team sports,Sports,Sports
3483,Franz lehár,Hungary,78,Male,Composer,Music,Arts,Arts
3484,Geiseric,Hungary,88,Male,Politician,Government,Institutions,Government
3485,Georg solti,Hungary,106,Male,Conductor,Music,Arts,Arts
3487,George andrew olah,Hungary,90,Male,Chemist,Natural sciences,Science & technology,Science & technology
3488,George de hevesy,Hungary,81,Male,Chemist,Natural sciences,Science & technology,Science & technology
3489,George pólya,Hungary,98,Male,Mathematician,Math,Science & technology,Science & technology
3490,George soros,Hungary,88,Male,Businessperson,Business,Business & law,Business & law
3491,Gordon bajnai,Hungary,50,Male,Politician,Government,Institutions,Government
3492,Gyula horn,Hungary,81,Male,Politician,Government,Institutions,Government
3493,Ilona staller,Hungary,67,Female,Pornographic actor,Media personalit,Public figure,Public figure
3494,Imre kertész,Hungary,87,Male,Writer,Language,Humanities,Humanities
3495,Imre lakatos,Hungary,52,Male,Philosopher,Philosophy,Humanities,Humanities
3496,Imre nagy,Hungary,62,Male,Politician,Government,Institutions,Government
3497,János áder,Hungary,59,Male,Politician,Government,Institutions,Government
3498,John harsanyi,Hungary,80,Male,Economist,Social sciences,Science & technology,Science & technology
3499,Joseph pulitzer,Hungary,64,Male,Journalist,Language,Humanities,Humanities
3500,Karl mannheim,Hungary,54,Male,Sociologist,Social sciences,Science & technology,Science & technology
3501,Ladislao kubala,Hungary,91,Male,Soccer player,Team sports,Sports,Sports
3502,Lajos kossuth,Hungary,92,Male,Politician,Government,Institutions,Government
3504,László moholy-nagy,Hungary,51,Male,Designer,Design,Arts,Arts
3505,László papp,Hungary,77,Male,Boxer,Individual sport,Sports,Sports
3506,László sólyom,Hungary,76,Male,Politician,Government,Institutions,Government
3507,Leó szilárd,Hungary,66,Male,Physicist,Natural sciences,Science & technology,Science & technology
3508,Miklós horthy,Hungary,89,Male,Politician,Government,Institutions,Government
3509,Odoacer,Hungary,58,Male,Politician,Government,Institutions,Government
3510,Pál schmitt,Hungary,76,Male,Politician,Government,Institutions,Government
3511,Paul erdős,Hungary,83,Male,Mathematician,Math,Science & technology,Science & technology
3512,Robert capa,Hungary,41,Male,Journalist,Language,Humanities,Humanities
3513,Sándor kocsis,Hungary,89,Male,Soccer player,Team sports,Sports,Sports
3514,Sándor petőfi,Hungary,26,Male,Writer,Language,Humanities,Humanities
3515,Stephen i of hungary,Hungary,71,Male,Politician,Government,Institutions,Government
3516,Theodore von karman,Hungary,82,Male,Engineer,Engineering,Science & technology,Science & technology
3517,Victor vasarely,Hungary,91,Male,Artist,Fine arts,Arts,Arts
3518,Viktor kassai,Hungary,43,Male,Referee,Team sports,Sports,Sports
3519,Viktor orbán,Hungary,55,Male,Politician,Government,Institutions,Government
3520,Zoltán gera,Hungary,39,Male,Soccer player,Team sports,Sports,Sports
3521,Zoltán kodály,Hungary,85,Male,Composer,Music,Arts,Arts
3522,Ásgeir ásgeirsson,Iceland,78,Male,Politician,Government,Institutions,Government
3523,Erik the red,Iceland,53,Male,Explorer,Explorers,Exploration,Exploration
3524,Hera björk,Iceland,46,Female,Singer,Music,Arts,Arts
3525,Kristján eldjárn,Iceland,66,Male,Politician,Government,Institutions,Government
3526,Leif ericson,Iceland,50,Male,Explorer,Explorers,Exploration,Exploration
3527,Snorri sturluson,Iceland,62,Male,Writer,Language,Humanities,Humanities
3529,Björk,Iceland,53,Female,Musician,Music,Arts,Arts
3530,Davíð oddsson,Iceland,70,Male,Politician,Government,Institutions,Government
3531,Eiður guðjohnsen,Iceland,40,Male,Soccer player,Team sports,Sports,Sports
3532,Geir haarde,Iceland,67,Male,Politician,Government,Institutions,Government
3533,Halldór ásgrímsson,Iceland,68,Male,Politician,Government,Institutions,Government
3534,Halldór laxness,Iceland,96,Male,Writer,Language,Humanities,Humanities
3535,Jóhanna sigurðardóttir,Iceland,76,Female,Politician,Government,Institutions,Government
3536,Ólafur ragnar grímsson,Iceland,75,Male,Politician,Government,Institutions,Government
3537,Vigdís finnbogadóttir,Iceland,88,Female,Politician,Government,Institutions,Government
3538,A. R. Rahman,India,52,Male,Musician,Music,Arts,Arts
3539,Aamir khan,India,53,Male,Actor,Film and theatre,Arts,Arts
3540,Abdul kalam,India,84,Male,Politician,Government,Institutions,Government
3541,Abdul qadeer khan,India,83,Male,Physicist,Natural sciences,Science & technology,Science & technology
3542,Abhishek bachchan,India,42,Male,Actor,Film and theatre,Arts,Arts
3543,Adi shankara,India,32,Male,Philosopher,Philosophy,Humanities,Humanities
3544,Aishwarya rai,India,45,Female,Actor,Film and theatre,Arts,Arts
3545,Ajay devgan,India,49,Male,Actor,Film and theatre,Arts,Arts
3546,Akshay kumar,India,51,Male,Actor,Film and theatre,Arts,Arts
3547,Amartya sen,India,85,Male,Economist,Social sciences,Science & technology,Science & technology
3548,Amir khusro,India,72,Male,Musician,Music,Arts,Arts
3549,Amitabh bachchan,India,76,Male,Actor,Film and theatre,Arts,Arts
3550,Aravind adiga,India,44,Male,Writer,Language,Humanities,Humanities
3551,Arundhati roy,India,57,Female,Writer,Language,Humanities,Humanities
3552,Aryabhata,India,74,Male,Astronomer,Natural sciences,Science & technology,Science & technology
3553,Ashoka,India,72,Male,Politician,Government,Institutions,Government
3554,Atal bihari vajpayee,India,94,Male,Politician,Government,Institutions,Government
3555,Augustus de morgan,India,65,Male,Mathematician,Math,Science & technology,Science & technology
3556,B. R. Ambedkar,India,65,Male,Politician,Government,Institutions,Government
3557,Bhaskara,India,71,Male,Mathematician,Math,Science & technology,Science & technology
3558,Bipasha basu,India,39,Female,Actor,Film and theatre,Arts,Arts
3559,Bodhidharma,India,57,Male,Philosopher,Philosophy,Humanities,Humanities
3560,Chanakya,India,53,Male,Philosopher,Philosophy,Humanities,Humanities
3561,Chandragupta maurya,India,43,Male,Politician,Government,Institutions,Government
3562,Chandrasekhara venkata raman,India,82,Male,Physicist,Natural sciences,Science & technology,Science & technology
